Census Year,Subject population,Religious affiliation,Religious affiliation Code,Unit,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population,Sikhism,Sikhism,Count,40908,number,Number of people,
2018,Census usually resident population,Sikhism,Sikhism,Percentage of total stated,0.8704283521162,percentage,% of people,
2023,Census usually resident population,Sikhism,Sikhism,Count,53406,number,Number of people,
2023,Census usually resident population,Sikhism,Sikhism,Percentage of total stated,1.069419772792,percentage,% of people,
2013,Census usually resident population,Theism,Theism,Count,1782,number,Number of people,
2013,Census usually resident population,Theism,Theism,Percentage of total stated,0.04567867436488,percentage,% of people where information available,
2018,Census usually resident population,Theism,Theism,Count,2607,number,Number of people,
2018,Census usually resident population,Theism,Theism,Percentage of total stated,0.05547097667857,percentage,% of people,
2023,Census usually resident population,Theism,Theism,Count,3066,number,Number of people,
2023,Census usually resident population,Theism,Theism,Percentage of total stated,0.06139461901996,percentage,% of people,
2013,Census usually resident population,Deism,Deism,Count,,number,Number of people,not available
2013,Census usually resident population,Deism,Deism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Deism,Deism,Count,150,number,Number of people,
2018,Census usually resident population,Deism,Deism,Percentage of total stated,0.003191655735246,percentage,% of people,
2023,Census usually resident population,Deism,Deism,Count,132,number,Number of people,
2023,Census usually resident population,Deism,Deism,Percentage of total stated,0.002643212560546,percentage,% of people,
2013,Census usually resident population,Zoroastrian,Zoroastrian,Count,972,number,Number of people,
2013,Census usually resident population,Zoroastrian,Zoroastrian,Percentage of total stated,0.02491564056266,percentage,% of people where information available,
2018,Census usually resident population,Zoroastrian,Zoroastrian,Count,1068,number,Number of people,
2018,Census usually resident population,Zoroastrian,Zoroastrian,Percentage of total stated,0.02272458883495,percentage,% of people,
2023,Census usually resident population,Zoroastrian,Zoroastrian,Count,1020,number,Number of people,
2023,Census usually resident population,Zoroastrian,Zoroastrian,Percentage of total stated,0.02042482433149,percentage,% of people,
2013,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Count,108,number,Number of people,
2013,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Percentage of total stated,0.002768404506963,percentage,% of people where information available,
2018,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Count,93,number,Number of people,
2018,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Percentage of total stated,0.001978826555852,percentage,% of people,
2023,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Count,78,number,Number of people,
2023,Census usually resident population,Unification Church (Moonist),Unification Church (Moonist),Percentage of total stated,0.001561898331232,percentage,% of people,
2013,Census usually resident population,Jedi,Jedi,Count,,number,Number of people,not available
2013,Census usually resident population,Jedi,Jedi,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Jedi,Jedi,Count,20409,number,Number of people,
2018,Census usually resident population,Jedi,Jedi,Percentage of total stated,0.4342566793375,percentage,% of people,
2023,Census usually resident population,Jedi,Jedi,Count,17682,number,Number of people,
2023,Census usually resident population,Jedi,Jedi,Percentage of total stated,0.3540703370877,percentage,% of people,
2013,Census usually resident population,Atheism,Atheism,Count,,number,Number of people,not available
2013,Census usually resident population,Atheism,Atheism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Atheism,Atheism,Count,7068,number,Number of people,
2018,Census usually resident population,Atheism,Atheism,Percentage of total stated,0.1503908182448,percentage,% of people,
2023,Census usually resident population,Atheism,Atheism,Count,6549,number,Number of people,
2023,Census usually resident population,Atheism,Atheism,Percentage of total stated,0.1311393868107,percentage,% of people,
2013,Census usually resident population,Agnosticism,Agnosticism,Count,,number,Number of people,not available
2013,Census usually resident population,Agnosticism,Agnosticism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Agnosticism,Agnosticism,Count,6516,number,Number of people,
2018,Census usually resident population,Agnosticism,Agnosticism,Percentage of total stated,0.1386455251391,percentage,% of people,
2023,Census usually resident population,Agnosticism,Agnosticism,Count,7434,number,Number of people,
2023,Census usually resident population,Agnosticism,Agnosticism,Percentage of total stated,0.1488609255689,percentage,% of people,
2013,Census usually resident population,Cao Dai,Cao Dai,Count,,number,Number of people,not available
2013,Census usually resident population,Cao Dai,Cao Dai,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Cao Dai,Cao Dai,Count,6,number,Number of people,
2018,Census usually resident population,Cao Dai,Cao Dai,Percentage of total stated,0.0001276662294098,percentage,% of people,
2023,Census usually resident population,Cao Dai,Cao Dai,Count,9,number,Number of people,
2023,Census usually resident population,Cao Dai,Cao Dai,Percentage of total stated,0.0001802190382191,percentage,% of people,
2013,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Count,,number,Number of people,not available
2013,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Count,4248,number,Number of people,
2018,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Percentage of total stated,0.09038769042216,percentage,% of people,
2023,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Count,3297,number,Number of people,
2023,Census usually resident population,Church of the Flying Spaghetti Monster,Church of the Flying Spaghetti Monster,Percentage of total stated,0.06602024100091,percentage,% of people,
2013,Census usually resident population,Falun Gong,Falun Gong,Count,,number,Number of people,not available
2013,Census usually resident population,Falun Gong,Falun Gong,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Falun Gong,Falun Gong,Count,105,number,Number of people,
2018,Census usually resident population,Falun Gong,Falun Gong,Percentage of total stated,0.002234159014672,percentage,% of people,
2023,Census usually resident population,Falun Gong,Falun Gong,Count,150,number,Number of people,
2023,Census usually resident population,Falun Gong,Falun Gong,Percentage of total stated,0.003003650636984,percentage,% of people,
2013,Census usually resident population,Humanism,Humanism,Count,,number,Number of people,not available
2013,Census usually resident population,Humanism,Humanism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Humanism,Humanism,Count,663,number,Number of people,
2018,Census usually resident population,Humanism,Humanism,Percentage of total stated,0.01410711834979,percentage,% of people,
2023,Census usually resident population,Humanism,Humanism,Count,609,number,Number of people,
2023,Census usually resident population,Humanism,Humanism,Percentage of total stated,0.01219482158616,percentage,% of people,
2013,Census usually resident population,Libertarianism,Libertarianism,Count,,number,Number of people,not available
2013,Census usually resident population,Libertarianism,Libertarianism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Libertarianism,Libertarianism,Count,9,number,Number of people,
2018,Census usually resident population,Libertarianism,Libertarianism,Percentage of total stated,0.0001914993441147,percentage,% of people,
2023,Census usually resident population,Libertarianism,Libertarianism,Count,6,number,Number of people,
2023,Census usually resident population,Libertarianism,Libertarianism,Percentage of total stated,0.0001201460254794,percentage,% of people,
2013,Census usually resident population,Maoism,Maoism,Count,,number,Number of people,not available
2013,Census usually resident population,Maoism,Maoism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Maoism,Maoism,Count,6,number,Number of people,
2018,Census usually resident population,Maoism,Maoism,Percentage of total stated,0.0001276662294098,percentage,% of people,
2023,Census usually resident population,Maoism,Maoism,Count,9,number,Number of people,
2023,Census usually resident population,Maoism,Maoism,Percentage of total stated,0.0001802190382191,percentage,% of people,
2013,Census usually resident population,Marxism,Marxism,Count,,number,Number of people,not available
2013,Census usually resident population,Marxism,Marxism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Marxism,Marxism,Count,12,number,Number of people,
2018,Census usually resident population,Marxism,Marxism,Percentage of total stated,0.0002553324588197,percentage,% of people,
2023,Census usually resident population,Marxism,Marxism,Count,9,number,Number of people,
2023,Census usually resident population,Marxism,Marxism,Percentage of total stated,0.0001802190382191,percentage,% of people,
2013,Census usually resident population,Rationalism,Rationalism,Count,,number,Number of people,not available
2013,Census usually resident population,Rationalism,Rationalism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Rationalism,Rationalism,Count,9,number,Number of people,
2018,Census usually resident population,Rationalism,Rationalism,Percentage of total stated,0.0001914993441147,percentage,% of people,
2023,Census usually resident population,Rationalism,Rationalism,Count,12,number,Number of people,
2023,Census usually resident population,Rationalism,Rationalism,Percentage of total stated,0.0002402920509587,percentage,% of people,
2013,Census usually resident population,Socialism,Socialism,Count,,number,Number of people,not available
2013,Census usually resident population,Socialism,Socialism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Socialism,Socialism,Count,15,number,Number of people,
2018,Census usually resident population,Socialism,Socialism,Percentage of total stated,0.0003191655735246,percentage,% of people,
2023,Census usually resident population,Socialism,Socialism,Count,15,number,Number of people,
2023,Census usually resident population,Socialism,Socialism,Percentage of total stated,0.0003003650636984,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Count,222,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Percentage of total stated,0.005690609264312,percentage,% of people where information available,
2018,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Count,297,number,Number of people,
2018,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Percentage of total stated,0.006319478355787,percentage,% of people,
2023,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Count,462,number,Number of people,
2023,Census usually resident population,"Other Religions, Beliefs and Philosophies (not elsewhere classified)","Other Religions, Beliefs and Philosophies nec",Percentage of total stated,0.009251243961911,percentage,% of people,
2013,Census usually resident population,Don't know,Don't know,Count,1209,number,Number of people,
2013,Census usually resident population,Don't know,Don't know,Percentage of total stated,0.03099075045294,percentage,% of people where information available,
2018,Census usually resident population,Don't know,Don't know,Count,0,number,Number of people,
2018,Census usually resident population,Don't know,Don't know,Percentage of total stated,0,percentage,% of people,
2023,Census usually resident population,Don't know,Don't know,Count,0,number,Number of people,
2023,Census usually resident population,Don't know,Don't know,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Object to answering,Object to answering,Count,173034,number,Number of people,
2013,Census usually resident population,Object to answering,Object to answering,Percentage of total stated,4.435445420905,percentage,% of people where information available,
2018,Census usually resident population,Object to answering,Object to answering,Count,312795,number,Number of people,
2018,Census usually resident population,Object to answering,Object to answering,Percentage of total stated,6.655559704708,percentage,% of people,
2023,Census usually resident population,Object to answering,Object to answering,Count,342705,number,Number of people,
2023,Census usually resident population,Object to answering,Object to answering,Percentage of total stated,6.862440610318,percentage,% of people,
2013,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Count,16146,number,Number of people,
2013,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Percentage of total stated,0.4138764737909,percentage,% of people where information available,
2018,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Count,0,number,Number of people,
2018,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Percentage of total stated,0,percentage,% of people,
2023,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Count,0,number,Number of people,
2023,Census usually resident population,Religion unidentifiable,Religion unidentifiable,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Response outside scope,Response outside scope,Count,28377,number,Number of people,
2013,Census usually resident population,Response outside scope,Response outside scope,Percentage of total stated,0.7273982842044,percentage,% of people where information available,
2018,Census usually resident population,Response outside scope,Response outside scope,Count,0,number,Number of people,
2018,Census usually resident population,Response outside scope,Response outside scope,Percentage of total stated,0,percentage,% of people,
2023,Census usually resident population,Response outside scope,Response outside scope,Count,0,number,Number of people,
2023,Census usually resident population,Response outside scope,Response outside scope,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Not stated,Not stated,Count,301608,number,Number of people,
2013,Census usually resident population,Not stated,Not stated,Percentage of total stated,,percentage,% of people where information available,not applicable
2018,Census usually resident population,Not stated,Not stated,Count,0,number,Number of people,
2018,Census usually resident population,Not stated,Not stated,Percentage of total stated,,percentage,% of people,not applicable
2023,Census usually resident population,Not stated,Not stated,Count,0,number,Number of people,
2023,Census usually resident population,Not stated,Not stated,Percentage of total stated,,percentage,% of people,not applicable
2013,Census usually resident population,Total people,Total,Count,4242048,number,Number of people,
2013,Census usually resident population,Total people,Total,Percentage of total stated,,percentage,% of people where information available,not applicable
2018,Census usually resident population,Total people,Total,Count,4699755,number,Number of people,
2018,Census usually resident population,Total people,Total,Percentage of total stated,,percentage,% of people,not applicable
2023,Census usually resident population,Total people,Total,Count,4993923,number,Number of people,
2023,Census usually resident population,Total people,Total,Percentage of total stated,,percentage,% of people,not applicable
2013,Census usually resident population,Total people stated,Total Stated,Count,3901164,number,Number of people,
2013,Census usually resident population,Total people stated,Total Stated,Percentage of total stated,100,percentage,% of people where information available,
2018,Census usually resident population,Total people stated,Total Stated,Count,4699755,number,Number of people,
2018,Census usually resident population,Total people stated,Total Stated,Percentage of total stated,100,percentage,% of people,
2023,Census usually resident population,Total people stated,Total Stated,Count,4993923,number,Number of people,
2023,Census usually resident population,Total people stated,Total Stated,Percentage of total stated,100,percentage,% of people,
